BankName,RoutingNumber,Address,City,State
Ameris Bank,053208066,24 Second Ave SE,Moultrie,GA
Ameris Bank,061020786,24 Second Ave SE,Moultrie,GA
Ameris Bank,061201673,24 Second Ave SE,Moultrie,GA
Banco Popular,021272626,9600 W Bryn Mawr,Rosemont,IL
Banco Popular,021502011,Attn: Dept 638,San Juan,PR
Banco Popular,021502095,Business Banking Division (709),San Juan,PR
BancorpSouth,064108388,2910 W Jackson St,Tupelo,MS
BancorpSouth,065405255,2910 W Jackson St,Tupelo,MS
BancorpSouth,082900966,2910 W Jackson Street,Tupelo,MS
